dish_name,description
吐司果醬,吐司兩片
吐司果醬,果醬足夠塗滿一面吐司的量
咖哩炒螃蟹,肉蟹 1 隻（大約 300g）* 份數
咖哩炒螃蟹,咖哩塊 15g（一小塊）* 份數
咖哩炒螃蟹,椰漿 100ml * 份數
咖哩炒螃蟹,雞蛋 1 顆 * 份數
咖哩炒螃蟹,洋蔥 200g * 份數
咖哩炒螃蟹,蒜頭 5 瓣 * 份數
太陽蛋,雞蛋的用量為 1 顆。
太陽蛋,鹽的用量為每顆雞蛋 1 公克。
太陽蛋,油的用量為每顆雞蛋 5 毫升。
完美水煮蛋,雞蛋 1 顆（約 60g）
完美水煮蛋,100°C 沸水 1500ml
完美水煮蛋,30°C 溫水 1500ml
微波爐荷包蛋,雞蛋 2 顆
微波爐荷包蛋,飲用水 35 毫升
微波爐荷包蛋,芝麻油 3 毫升
微波爐荷包蛋,鹽 0.8 公克
微波爐蛋糕,雞蛋🥚 1 顆
微波爐蛋糕,麵粉🍚 15g
微波爐蛋糕,發粉🍚 2.5g
微波爐蛋糕,白（紅）糖🍬 10g
微波爐蛋糕,鹽🧂 1g
微波爐蛋糕,咖啡粉☕
微波爐蛋糕,巧克力🍫
微波爐蛋糕,麥片🍿
微波爐蛋糕,牛奶🥛
微波爐蛋糕,堅果🥜
微波爐蛋糕,餅乾屑🍪
微波爐蛋糕,香蕉🍌
微波爐蛋糕,非黑暗料理🍆
微波蔥薑黑鱈魚,黑鱈魚，帶皮，2 片，450g（本食譜主角，所有調味料可根據鱈魚的實際重量進行比例調整）
微波蔥薑黑鱈魚,青蔥，蔥白，25g。
微波蔥薑黑鱈魚,青蔥，蔥綠，10g。
微波蔥薑黑鱈魚,薑，13g。
微波蔥薑黑鱈魚,料酒，5mL。
微波蔥薑黑鱈魚,醬油，25mL。
微波蔥薑黑鱈魚,芝麻油，2mL。
微波蔥薑黑鱈魚,花生油，50mL。
桂圓紅棗粥,糯米 100g
桂圓紅棗粥,紅棗 15 顆
桂圓紅棗粥,桂圓 15 顆
水煮玉米,一根帶皮玉米
水煮玉米,淹過玉米約半節手指的水
水煮玉米,煮玉米時，開始使用淡鹽水，大約 2 公克鹽加 50 毫升的水
水煮玉米,根據口味選擇是否加糖（可選）
水煮魚,巴沙魚 500g
水煮魚,蔬菜（例如馬鈴薯片／豆芽／花椰菜／生菜／……）可有不同搭配，建議總重量 300g 至 500g
水煮魚,紅油豆瓣醬 40g（不怕辣想多加紅油可多加 10 至 20g）
水煮魚,豆豉 10g（可選）
水煮魚,藤椒油 10ml
水煮魚,菜籽油 25ml
水煮魚,白胡椒粉 3g
水煮魚,大蒜 2 瓣
水煮魚,鹽 5g
水煮魚,糖 2g
溏心蛋,雞蛋 1 顆或更多（只要您的電鍋裝得下，不管有幾顆雞蛋都可以）
溏心蛋,淹過雞蛋約 2 公分的冷水
煎餃,餃子一包（依個人食量選擇，約 10 - 15 顆）
燕麥雞蛋餅,雞蛋兩顆，亦可選擇兩顆蛋白、一顆蛋黃
燕麥雞蛋餅,純乾燕麥片 50g（大約等同一顆雞蛋的量）
燕麥雞蛋餅,牛奶一盒約 250ml
燕麥雞蛋餅,蔬菜碎葉一把
牛奶燕麥,🥛 牛奶 280ml/每人
牛奶燕麥,🍳 雞蛋 1 顆/每人
牛奶燕麥,🍚 燕麥 40g/每人
空氣炸鍋麵包片,麵包片（兩片）
